,Sample,Station,Time,DHW,Depth,D1_ratio,C1_ratio,C3_ratio,C15_ratio,C21_ratio,C27_ratio,C42_ratio,C71_ratio,C90_ratio,C91_ratio,C116_ratio,D_numbers,C_numbers,ASV_numbers,Algal_symbionts,Chlorophyll,Density,Carbohydrate,Protein,Lipid,Ea,Ec,CEA,N15,C13,C_N_ratio,Chao1,ACE,Shannon,Simpson
1,Pa-20au-HGJ-1,HGJ,20au,5.76,4.2,0.0035,0.4598,0.016,0.1943,0,0,0.3264,0,0,0,0,147,41601,41748,Mixed,2.569,4.689,0.112,0.219,0.697,34.722,177.47,195.651,1.466,-20.449,4.729,378.0769231,377.5347191,3.412004404,0.86129456
2,Pa-20au-HGJ-2,HGJ,20au,5.76,4.2,0.6794,0.2129,0.0218,0.0093,0.0192,0,0.0393,0,0,0,0.0181,84642,40055,124697,Mixed,4.33,2.378,0.118,0.284,0.182,16.045,202.373,79.286,2.534,-18.428,4.642,436.2307692,434.7376138,4.653008889,0.958599005
3,Pa-20au-HGJ-3,HGJ,20au,5.76,4.2,0.4587,0.5059,0,0.0051,0,0,0.016,0,0,0,0.0143,28321,33439,61760,Mixed,7.137,2.151,0.141,0.475,0.783,44.788,211.613,211.651,2.135,-18.064,3.725,513.7333333,512.9990053,3.85179402,0.8901868
4,Pa-20au-HGJ-4,HGJ,20au,5.76,4.2,0.0012,0.3561,0.0057,0.5347,0,0,0.1023,0,0,0,0,102,88570,88672,Mixed,3.566,3.343,0.034,0.336,0.847,42.119,197.39,213.381,0.836,-20.601,4.728,574.3333333,560.0387177,4.232819393,0.957484435
5,Pa-20au-HGJ-5,HGJ,20au,5.76,4.2,0.8487,0.097,0,0.0298,0,0,0.0245,0,0,0,0,53867,9604,63471,D1-dominated,5.164,2.546,0.114,0.196,0.538,27.928,213.406,130.869,2.184,-19.469,4.181,353.1707317,347.5246659,3.029931442,0.88716246
6,Pa-20au-HGJ-6,HGJ,20au,5.75,0.8,0.353,0.6173,0,0.0221,0,0,0.0075,0,0,0,0,22326,40914,63240,Mixed,3.796,7.764,0.086,0.377,0.761,40.606,221.764,183.104,3.328,-18.213,5.216,563.9375,562.4631847,4.43311262,0.954080225
7,Pa-20au-HGJ-7,HGJ,20au,5.75,0.8,0.8187,0.1553,0,0.0104,0,0,0.0156,0,0,0,0,50329,11413,61742,D1-dominated,6.493,4.515,0.144,0.233,0.623,32.752,275.461,118.898,4.124,-18.589,4.659,416.0322581,413.3410474,3.860648089,0.916908555
8,Pa-20au-HGJ-8,HGJ,20au,5.75,0.8,0.8727,0.0784,0,0.0251,0,0,0.0238,0,0,0,0,54496,7950,62446,D1-dominated,1.855,6.699,0.134,0.265,0.495,28.259,138.842,203.53,4.449,-18.585,4.707,715.5185185,707.6461303,4.941267461,0.97466881
9,Pa-20au-HGJ-9,HGJ,20au,5.75,0.8,0.642,0.2754,0.0209,0.0165,0.003,0,0.0366,0,0,0,0.0055,38319,21372,59691,Mixed,4.493,2.621,0.436,0.242,0.588,36.66,209.144,175.285,3.59,-17.505,4.536,652.0895522,649.8305839,4.271468441,0.93625781
10,Pa-20au-HGJ-10,HGJ,20au,5.75,0.8,0.8808,0.0727,0,0.0241,0,0,0.0225,0,0,0,0,56272,7619,63891,D1-dominated,6.267,4.33,0.469,0.251,0.564,36.529,234.467,155.795,4.808,-17.325,4.325,646.4307692,645.4801381,4.777743518,0.973067485
